N,Triton,Torch,Apex,liger
1024.000000,356.173905,336.657521,327.679984,332.108094
1536.000000,414.202242,351.085717,354.461542,444.144584
2048.000000,416.542360,348.595753,334.367350,552.269657
2560.000000,558.545450,349.214918,341.333328,589.706057
3072.000000,594.580653,324.792956,335.127270,658.285705
3584.000000,623.304334,339.984182,327.057041,692.630097
4096.000000,630.153868,354.888069,330.989909,283.296835
4608.000000,564.244916,352.203817,335.127263,708.923101
5120.000000,590.769237,347.118655,337.582411,710.289046
5632.000000,598.088486,336.867290,340.473555,734.608679
6144.000000,614.400016,338.201833,342.125295,722.823543
6656.000000,593.843842,348.026142,343.535491,729.424677
7168.000000,554.941930,350.370663,345.445777,738.334768
7680.000000,520.677982,344.523365,345.755316,734.708551
8192.000000,489.074621,342.522645,343.720286,730.884728
8704.000000,502.153852,342.452466,347.580712,99.545388
9216.000000,511.999999,346.683371,350.529333,97.480832
9728.000000,495.694261,341.333319,325.623436,104.089162
10240.000000,482.829100,336.197000,337.582411,111.052865
10752.000000,505.078967,332.965152,335.999988,111.540089
11264.000000,519.876922,333.748149,335.612654,94.589220
11776.000000,502.889705,334.466283,332.498819,77.622631
12288.000000,478.753266,331.175744,331.361789,91.165548
12800.000000,459.192844,329.967781,332.827741,110.982663
13312.000000,437.654777,327.009216,230.012962,83.888145
13824.000000,420.501895,238.173724,256.000005,86.132237
14336.000000,406.214882,240.941178,221.263019,88.664863
14848.000000,401.749717,251.838879,229.682243,91.325476
15360.000000,390.935537,248.912899,196.293932,94.257218
15872.000000,318.235580,244.812343,228.374099,96.571938
